1835, 6
1840, 548
1845, 2300
1855, 8289
1860, 11660
1865, 14690
1870, 18480
1875, 27930
1880, 33710
1885, 37650
1890, 41880
1895, 45560
1900, 49430
1905, 56985
1910, 59280
1912, 58287
1918, 60620
1920, 53660
1929, 54059
1945, 49313
1950, 49550
1960, 49840
1970, 47250
1976, 43247
1980, 45910
1985, 41112
1990, 44320
2005, 38000
