1869, 0
1872, 28.96
1874, 72.42
1881, 222.09
1885, 564.88
1890, 2732.67
1893, 3281.45
1895, 3408.59
1900, 6204.02
1905, 7695.88
1907, 7880.96
1910, 8660
1920, 13639.19
1940, 22843.29
1950, 25558
1995, 20134
2010, 19435
